sample_id,target_tool_call_id,target_tool_call_str,target_no_tool_id,target_no_tool_str,query_tool_path__step_1__node,query_tool_path__step_1__ratio,query_tool_path__step_1__top1,query_tool_path__step_1__boundary_flip,query_tool_path__step_2__node,query_tool_path__step_2__ratio,query_tool_path__step_2__top1,query_tool_path__step_2__boundary_flip,query_tool_path__step_3__node,query_tool_path__step_3__ratio,query_tool_path__step_3__top1,query_tool_path__step_3__boundary_flip,query_tool_path__step_4__node,query_tool_path__step_4__ratio,query_tool_path__step_4__top1,query_tool_path__step_4__boundary_flip,schema_tool_path__step_1__node,schema_tool_path__step_1__ratio,schema_tool_path__step_1__top1,schema_tool_path__step_1__boundary_flip,schema_tool_path__step_2__node,schema_tool_path__step_2__ratio,schema_tool_path__step_2__top1,schema_tool_path__step_2__boundary_flip,no_tool_path__step_1__node,no_tool_path__step_1__ratio,no_tool_path__step_1__top1,no_tool_path__step_1__boundary_flip,no_tool_path__step_2__node,no_tool_path__step_2__ratio,no_tool_path__step_2__top1,no_tool_path__step_2__boundary_flip,no_tool_path__step_3__node,no_tool_path__step_3__ratio,no_tool_path__step_3__top1,no_tool_path__step_3__boundary_flip
apps_python_1,151657,<tool_call>,40,I,L2H14,0.3031674208144796,False,False,MLP11,0.3665158371040724,False,False,MLP16,0.9290158371040724,True,True,L24H6,0.9558823529411765,True,True,L21H12,0.45701357466063347,False,False,MLP27,0.7963800904977375,False,False,L16H4,0.11827956989247312,False,False,MLP17,0.7688172043010753,False,False,L23H6,0.9099462365591398,True,True
codecontests_cpp_1,151657,<tool_call>,40,I,L2H14,0.0047169811320754715,False,False,MLP11,-0.09433962264150944,False,False,MLP16,0.7087264150943396,False,False,L24H6,0.8832547169811321,False,False,L21H12,0.8466981132075472,False,False,MLP27,0.9825324292452831,True,True,L16H4,0.10606060606060606,False,False,MLP17,0.3661616161616162,False,False,L23H6,0.5732323232323232,False,False
codecontests_java_1,151657,<tool_call>,40,I,L2H14,0.1330049261083744,False,False,MLP11,0.5246305418719212,False,False,MLP16,0.7241379310344828,False,False,L24H6,0.9144088669950738,False,False,L21H12,0.9227216748768473,False,False,MLP27,0.9945350985221675,True,True,L16H4,0.32272727272727275,False,False,MLP17,0.7068181818181818,False,False,L23H6,0.9119318181818182,True,True
mbpp_python_1,151657,<tool_call>,40,I,L2H14,-0.09803921568627451,False,False,MLP11,0.24019607843137256,False,False,MLP16,0.6127450980392157,False,False,L24H6,0.6936274509803921,False,False,L21H12,0.3382352941176471,False,False,MLP27,0.7855392156862745,False,False,L16H4,0.23741007194244604,False,False,MLP17,0.7553956834532374,True,False,L23H6,0.8435251798561151,True,True
codecontests_java_2,151657,<tool_call>,40,I,L2H14,0.12962962962962962,False,False,MLP11,0.5717592592592593,False,False,MLP16,0.48842592592592593,False,False,L24H6,0.84375,False,False,L21H12,0.6666666666666666,False,False,MLP27,0.9722222222222222,True,True,L16H4,0.07746478873239436,False,False,MLP17,0.4471830985915493,False,False,L23H6,0.698943661971831,False,False
codecontests_cpp_3,151657,<tool_call>,40,I,L2H14,0.22540983606557377,False,False,MLP11,0.11475409836065574,False,False,MLP16,0.6741803278688525,False,False,L24H6,0.8206967213114754,False,False,L21H12,0.6413934426229508,False,False,MLP27,0.9344262295081968,True,True,L16H4,-0.11855670103092783,False,False,MLP17,0.5360824742268041,False,False,L23H6,0.75,False,False
codecontests_java_3,151657,<tool_call>,40,I,L2H14,0.06756756756756757,False,False,MLP11,0.6081081081081081,False,False,MLP16,0.793918918918919,False,False,L24H6,0.9383445945945946,True,True,L21H12,0.9442567567567568,True,True,MLP27,0.9942461993243243,True,True,L16H4,0.22857142857142856,False,False,MLP17,0.5071428571428571,False,False,L23H6,0.7666666666666667,False,False
apps_python_4,151657,<tool_call>,40,I,L2H14,-0.08270676691729323,False,False,MLP11,-0.556390977443609,False,False,MLP16,0.41729323308270677,False,False,L24H6,0.7218045112781954,False,False,L21H12,0.7518796992481203,False,False,MLP27,0.9624060150375939,True,True,L16H4,0.15384615384615385,False,False,MLP17,0.32051282051282054,False,False,L23H6,0.5064102564102564,False,False
codecontests_cpp_4,151657,<tool_call>,40,I,L2H14,0.17153284671532848,False,False,MLP11,0.22627737226277372,False,False,MLP16,0.5638686131386861,False,False,L24H6,0.7846715328467153,False,False,L21H12,0.5875912408759124,False,False,MLP27,0.8640510948905109,False,False,L16H4,0.1834862385321101,False,False,MLP17,0.7396788990825688,True,True,L23H6,0.8325688073394495,True,True
codecontests_java_4,151657,<tool_call>,40,I,L2H14,-0.022099447513812154,False,False,MLP11,0.4613259668508287,False,False,MLP16,0.7776243093922652,False,False,L24H6,0.9278314917127072,True,False,L21H12,0.8825966850828729,False,False,MLP27,0.9917127071823204,True,True,L16H4,0.10497237569060773,False,False,MLP17,0.4143646408839779,False,False,L23H6,0.6616022099447514,False,False
