sample_id,family,step_idx,step_label,nodes,rescue_ratio,decision_score,top1_success,boundary_flip
apps_python_1,query,1,user_query_read,L20H5,0.0,-3.4525108337402344,False,False
apps_python_1,query,2,query_to_l21h1,L20H5|L21H1,0.6312217194570136,-1.10546875,False,False
apps_python_1,query,3,query_to_l21h12,L20H5|L21H12,0.5180995475113123,-1.57421875,False,False
apps_python_1,query,4,query_to_both_l21,L20H5|L21H1|L21H12,0.7941176470588235,-0.296875,False,False
apps_python_1,query,5,query_to_late_router,L20H5|L21H1|L21H12|L24H6,0.9066742081447964,0.509765625,True,True
apps_python_1,query,6,query_to_late_writer,L20H5|L21H1|L21H12|L24H6|MLP27,0.920814479638009,0.6796875,True,True
apps_python_1,suppress,1,no_tool_read,L16H4,0.11827956989247312,-2.5584716796875,False,False
apps_python_1,suppress,2,no_tool_writer,L16H4|MLP17,0.7688172043010753,-0.220703125,False,False
apps_python_1,suppress,3,no_tool_late_relay,L16H4|MLP17|L23H6,0.9099462365591398,0.81640625,True,True
codecontests_cpp_1,query,1,user_query_read,L20H5,0.4716981132075472,-3.4720458984375,False,False
codecontests_cpp_1,query,2,query_to_l21h1,L20H5|L21H1,0.9442806603773585,0.794921875,True,True
codecontests_cpp_1,query,3,query_to_l21h12,L20H5|L21H12,0.9445754716981132,0.8125,True,True
codecontests_cpp_1,query,4,query_to_both_l21,L20H5|L21H1|L21H12,0.9896816037735849,2.556640625,True,True
codecontests_cpp_1,query,5,query_to_late_router,L20H5|L21H1|L21H12|L24H6,0.9931087853773585,2.938720703125,True,True
codecontests_cpp_1,query,6,query_to_late_writer,L20H5|L21H1|L21H12|L24H6|MLP27,0.9975862323113207,3.8277587890625,True,True
codecontests_cpp_1,suppress,1,no_tool_read,L16H4,0.10606060606060606,-5.530670166015625,False,False
codecontests_cpp_1,suppress,2,no_tool_writer,L16H4|MLP17,0.3661616161616162,-3.90728759765625,False,False
codecontests_cpp_1,suppress,3,no_tool_late_relay,L16H4|MLP17|L23H6,0.5732323232323232,-2.57373046875,False,False
codecontests_java_1,query,1,user_query_read,L20H5,0.32019704433497537,-8.62054443359375,False,False
codecontests_java_1,query,2,query_to_l21h1,L20H5|L21H1,0.8029556650246306,-2.3671875,False,False
codecontests_java_1,query,3,query_to_l21h12,L20H5|L21H12,0.96875,0.806640625,True,True
codecontests_java_1,query,4,query_to_both_l21,L20H5|L21H1|L21H12,0.9923029556650246,2.37109375,True,True
codecontests_java_1,query,5,query_to_late_router,L20H5|L21H1|L21H12|L24H6,0.9953432881773399,2.86279296875,True,True
codecontests_java_1,query,6,query_to_late_writer,L20H5|L21H1|L21H12|L24H6|MLP27,0.9992302955665024,4.490234375,True,True
codecontests_java_1,suppress,1,no_tool_read,L16H4,0.32272727272727275,-4.648529052734375,False,False
codecontests_java_1,suppress,2,no_tool_writer,L16H4|MLP17,0.7068181818181818,-1.8564453125,False,False
codecontests_java_1,suppress,3,no_tool_late_relay,L16H4|MLP17|L23H6,0.9119318181818182,0.359375,True,True
mbpp_python_1,query,1,user_query_read,L20H5,0.30392156862745096,-2.1988525390625,False,False
mbpp_python_1,query,2,query_to_l21h1,L20H5|L21H1,0.7647058823529411,-0.447265625,False,False
mbpp_python_1,query,3,query_to_l21h12,L20H5|L21H12,0.5563725490196079,-1.3173828125,False,False
mbpp_python_1,query,4,query_to_both_l21,L20H5|L21H1|L21H12,0.8296568627450981,-0.11328125,False,False
mbpp_python_1,query,5,query_to_late_router,L20H5|L21H1|L21H12|L24H6,0.8823529411764706,0.2109375,False,True
mbpp_python_1,query,6,query_to_late_writer,L20H5|L21H1|L21H12|L24H6|MLP27,0.9552696078431373,0.873046875,True,True
mbpp_python_1,suppress,1,no_tool_read,L16H4,0.23741007194244604,-1.635498046875,False,False
mbpp_python_1,suppress,2,no_tool_writer,L16H4|MLP17,0.7553956834532374,-0.1015625,True,False
mbpp_python_1,suppress,3,no_tool_late_relay,L16H4|MLP17|L23H6,0.8435251798561151,0.33984375,True,True
codecontests_java_2,query,1,user_query_read,L20H5,0.38425925925925924,-4.141357421875,False,False
codecontests_java_2,query,2,query_to_l21h1,L20H5|L21H1,0.8414351851851852,-0.6796875,False,False
codecontests_java_2,query,3,query_to_l21h12,L20H5|L21H12,0.8425925925925926,-0.66015625,False,False
codecontests_java_2,query,4,query_to_both_l21,L20H5|L21H1|L21H12,0.9735243055555556,1.4306640625,True,True
codecontests_java_2,query,5,query_to_late_router,L20H5|L21H1|L21H12|L24H6,0.9874131944444444,2.0556640625,True,True
codecontests_java_2,query,6,query_to_late_writer,L20H5|L21H1|L21H12|L24H6|MLP27,0.9975947627314815,3.1556396484375,True,True
codecontests_java_2,suppress,1,no_tool_read,L16H4,0.07746478873239436,-4.092170715332031,False,False
codecontests_java_2,suppress,2,no_tool_writer,L16H4|MLP17,0.4471830985915493,-2.3916015625,False,False
codecontests_java_2,suppress,3,no_tool_late_relay,L16H4|MLP17|L23H6,0.698943661971831,-1.052734375,False,False
codecontests_cpp_3,query,1,user_query_read,L20H5,0.30327868852459017,-2.6375732421875,False,False
codecontests_cpp_3,query,2,query_to_l21h1,L20H5|L21H1,0.7940573770491803,-0.384765625,False,False
codecontests_cpp_3,query,3,query_to_l21h12,L20H5|L21H12,0.7561475409836066,-0.60546875,False,False
codecontests_cpp_3,query,4,query_to_both_l21,L20H5|L21H1|L21H12,0.9515881147540983,1.0185546875,True,True
codecontests_cpp_3,query,5,query_to_late_router,L20H5|L21H1|L21H12|L24H6,0.9760502049180327,1.51025390625,True,True
codecontests_cpp_3,query,6,query_to_late_writer,L20H5|L21H1|L21H12|L24H6|MLP27,0.9896260245901639,1.97607421875,True,True
codecontests_cpp_3,suppress,1,no_tool_read,L16H4,-0.11855670103092783,-3.388031005859375,False,False
codecontests_cpp_3,suppress,2,no_tool_writer,L16H4|MLP17,0.5360824742268041,-1.271484375,False,False
codecontests_cpp_3,suppress,3,no_tool_late_relay,L16H4|MLP17|L23H6,0.75,-0.3515625,False,False
