global_row_id,source_path,source_filename,dataset_name,language,sample_index,template_kind,original_first_user_line,original_prompt_sha1,original_prompt_char_length,dataset,split_local_id,original_source_id,original_source_path,original_source_split,original_source_row_index,rule_based_validation_passed,llm_audit_passed,repaired,replaced,mbpp_explicit_sanitized_subset,mbpp_sanitization_source,output_filename,assigned_candidate,assigned_candidate_type,assigned_candidate_slug,assigned_tool_call_prob,assigned_tool_call_rank,assigned_top1_token_id,assigned_top1_token_str,assigned_top1_prob,assigned_top2_token_id,assigned_top2_token_str,assigned_top2_prob,assigned_top1_top2_prob_gap,assigned_rendered_first_user_line,assigned_prompt_sha1,corrupt_candidate,corrupt_candidate_type,clean_candidate,clean_candidate_type,clean_candidate_slug,clean_rendered_first_user_line,precomputed_tool_call_prob,precomputed_is_tool_call_top1,corrupt_prompt_token_length,clean_prompt_token_length,token_length_aligned,clean_top1_token_id,clean_top1_token_str,clean_top1_prob,clean_top2_token_id,clean_top2_token_str,clean_top2_prob,clean_top1_top2_prob_gap,clean_tool_call_prob,clean_tool_call_rank,clean_is_tool_call_top1,clean_pass_p50
355,/root/autodl-tmp/datasets/codecontests_cpp_284.txt,codecontests_cpp_284.txt,codecontests,cpp,284,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,fb5fbb74219dfcf862538c60094f4de484eac1c7,1105,codecontests,284,1473_A. Replacing Elements,/root/autodl-tmp/data/CodeContests/data/train-00029-of-00039-2b6615897d038115.parquet,train,10025,True,True,True,False,,,codecontests_cpp_284.txt,supply,verb,supply,0.0002740876516327262,9,40,I,0.9258318543434143,785,The,0.04609445855021477,0.8797373957931995,Supply the function body in solve.cpp based on the function definition and docstring below:,6410cafe0f4036826196da4d44d219ce2ab23fda,supply,verb,append,verb,append,Append the function body in solve.cpp based on the function definition and docstring below:,0.9951234459877014,True,269,269,True,151657,<tool_call>,0.9951234459877014,40,I,0.003167259506881237,0.9919561864808202,0.9951234459877014,1,True,True
535,/root/autodl-tmp/datasets/codecontests_cpp_446.txt,codecontests_cpp_446.txt,codecontests,cpp,446,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,ebe160418e7fb2db8942cb2bbdd667d616a6b94a,1053,codecontests,446,793_A. Oleg and shares,/root/autodl-tmp/data/CodeContests/data/train-00007-of-00039-05785de21e8b8429.parquet,train,2456,True,True,True,False,,,codecontests_cpp_446.txt,supply,verb,supply,0.005282364785671234,4,40,I,0.6918532252311707,785,The,0.22461186349391937,0.4672413617372513,Supply the function body in solve.cpp based on the function definition and docstring below:,c39dd80d3187341cede0d94a4d95b0e6965788fe,supply,verb,append,verb,append,Append the function body in solve.cpp based on the function definition and docstring below:,0.9883213639259338,True,236,236,True,151657,<tool_call>,0.9883213639259338,785,The,0.008550655096769333,0.9797707088291645,0.9883213639259338,1,True,True
605,/root/autodl-tmp/datasets/codecontests_cpp_509.txt,codecontests_cpp_509.txt,codecontests,cpp,509,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,a41ced77310e0f652008d4cbadd003dc8f630945,1061,codecontests,509,1206_B. Make Product Equal One,/root/autodl-tmp/data/CodeContests/data/train-00020-of-00039-5d59387098675b73.parquet,train,7097,True,True,True,False,,,codecontests_cpp_509.txt,supply,verb,supply,0.00014300314069259912,14,40,I,0.7028273940086365,1249,To,0.17770259082317352,0.525124803185463,Supply the function body in solve.cpp based on the function definition and docstring below:,d52c5cda2cc2241de2b5a1361880ebbb0af59ce1,supply,verb,append,verb,append,Append the function body in solve.cpp based on the function definition and docstring below:,0.9974094033241272,True,238,238,True,151657,<tool_call>,0.9974094033241272,40,I,0.00103062076959759,0.9963787825545296,0.9974094033241272,1,True,True
680,/root/autodl-tmp/datasets/codecontests_cpp_577.txt,codecontests_cpp_577.txt,codecontests,cpp,577,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,73b6a57e4cce924e16c66ef5de5d318f4da7a55b,1093,codecontests,577,1183_B. Equalize Prices,/root/autodl-tmp/data/CodeContests/data/train-00029-of-00039-2b6615897d038115.parquet,train,10220,True,True,True,False,,,codecontests_cpp_577.txt,build,verb,build,0.0005564608727581799,6,40,I,0.8878844976425171,1249,To,0.06431813538074493,0.8235663622617722,Build the function body in solve.cpp based on the function definition and docstring below:,6c23f1e8f7e3eee137a909c55be65d55dfc1e036,build,verb,append,verb,append,Append the function body in solve.cpp based on the function definition and docstring below:,0.9976643323898315,True,285,285,True,151657,<tool_call>,0.9976643323898315,40,I,0.0016996407648548484,0.9959646916249767,0.9976643323898315,1,True,True
692,/root/autodl-tmp/datasets/codecontests_cpp_588.txt,codecontests_cpp_588.txt,codecontests,cpp,588,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,d9105693b36ec3367997f0df0b35c5e4d90b1c12,1029,codecontests,588,194_A. Exams,/root/autodl-tmp/data/CodeContests/data/train-00032-of-00039-7b7d2068a3d9c359.parquet,train,10966,True,True,True,False,,,codecontests_cpp_588.txt,supply,verb,supply,0.00026903560501523316,8,40,I,0.7077482342720032,785,The,0.22977221012115479,0.4779760241508484,Supply the function body in solve.cpp based on the function definition and docstring below:,6764de64f6249ced562adfb90d4b84274be030bf,supply,verb,append,verb,append,Append the function body in solve.cpp based on the function definition and docstring below:,0.9932441711425781,True,228,228,True,151657,<tool_call>,0.9932441711425781,785,The,0.004059161990880966,0.9891850091516972,0.9932441711425781,1,True,True
751,/root/autodl-tmp/datasets/codecontests_cpp_73.txt,codecontests_cpp_73.txt,codecontests,cpp,73,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,583eb5ef31b01c6e8fbcad8874859443a9763f61,1064,codecontests,73,1130_A. Be Positive,/root/autodl-tmp/data/CodeContests/data/train-00007-of-00039-05785de21e8b8429.parquet,train,2721,True,True,True,False,,,codecontests_cpp_73.txt,supply,verb,supply,0.001068822224624455,6,40,I,0.8055757880210876,785,The,0.13998807966709137,0.6655877083539963,Supply the function body in solve.cpp based on the function definition and docstring below:,7bab7e30baa0165485400fbbd5b5ffd5f171bd23,supply,verb,append,verb,append,Append the function body in solve.cpp based on the function definition and docstring below:,0.9919719099998474,True,239,239,True,151657,<tool_call>,0.9919719099998474,40,I,0.004053962416946888,0.9879179475829005,0.9919719099998474,1,True,True
165,/root/autodl-tmp/datasets/codecontests_cpp_112.txt,codecontests_cpp_112.txt,codecontests,cpp,112,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,32ec5c3f1ca847c8467117f6dc9fa3c099ec7d5e,1094,codecontests,112,1305_A. Kuroni and the Gifts,/root/autodl-tmp/data/CodeContests/data/train-00012-of-00039-da9476a39a1bdbb7.parquet,train,4397,True,True,True,False,,,codecontests_cpp_112.txt,implement,verb,implement,0.021250605583190918,4,40,I,0.9035987854003906,785,The,0.03970135748386383,0.8638974279165268,Implement the function body in solve.cpp based on the function definition and docstring below:,b43b5169d2e89bd91cf811d916b7e44d5f350c00,implement,verb,create,verb,create,Create the function body in solve.cpp based on the function definition and docstring below:,0.9152743220329285,True,252,252,True,151657,<tool_call>,0.9152743220329285,40,I,0.07513029128313065,0.8401440307497978,0.9152743220329285,1,True,True
171,/root/autodl-tmp/datasets/codecontests_cpp_118.txt,codecontests_cpp_118.txt,codecontests,cpp,118,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,8b3252fa70339905096c1b70ef1af9681eb666c8,1044,codecontests,118,278_A. Circle Line,/root/autodl-tmp/data/CodeContests/data/train-00012-of-00039-da9476a39a1bdbb7.parquet,train,4413,True,True,True,False,,,codecontests_cpp_118.txt,develop,verb,develop,0.034862007945775986,4,40,I,0.7002221941947937,785,The,0.15624068677425385,0.5439815074205399,Develop the function body in solve.cpp based on the function definition and docstring below:,08e09c5b38c26f5617e46f22e2d7bfeae732d575,develop,verb,create,verb,create,Create the function body in solve.cpp based on the function definition and docstring below:,0.9507295489311218,True,230,230,True,151657,<tool_call>,0.9507295489311218,40,I,0.03253217414021492,0.9181973747909069,0.9507295489311218,1,True,True
173,/root/autodl-tmp/datasets/codecontests_cpp_12.txt,codecontests_cpp_12.txt,codecontests,cpp,12,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,24e7f30dab7aa5f2a461ae02929ed00c0da776a1,1080,codecontests,12,1325_B. CopyCopyCopyCopyCopy,/root/autodl-tmp/data/CodeContests/data/train-00001-of-00039-e092fe56fda18715.parquet,train,437,True,True,True,False,,,codecontests_cpp_12.txt,develop,verb,develop,0.03370831161737442,3,40,I,0.8693488240242004,1249,To,0.04904530197381973,0.8203035220503807,Develop the function body in solve.cpp based on the function definition and docstring below:,01446a72ed9a907e5792be8408fbf5d8b5382d25,develop,verb,create,verb,create,Create the function body in solve.cpp based on the function definition and docstring below:,0.967561662197113,True,248,248,True,151657,<tool_call>,0.967561662197113,40,I,0.02578464336693287,0.9417770188301802,0.967561662197113,1,True,True
177,/root/autodl-tmp/datasets/codecontests_cpp_123.txt,codecontests_cpp_123.txt,codecontests,cpp,123,solve.cpp,Write the function body in solve.cpp based on the function definition and docstring below:,ea62ead0eb31480af99a142a69b0ace83a495d90,1065,codecontests,123,1422_A. Fence,/root/autodl-tmp/data/CodeContests/data/train-00013-of-00039-30b8c3829ee3b962.parquet,train,4506,True,True,True,False,,,codecontests_cpp_123.txt,develop,verb,develop,0.033798445016145706,4,40,I,0.8716734051704407,785,The,0.04339805990457535,0.8282753452658653,Develop the function body in solve.cpp based on the function definition and docstring below:,38bcb59b3946958f2b4a7e0ec8058730731cdfa0,develop,verb,create,verb,create,Create the function body in solve.cpp based on the function definition and docstring below:,0.9799851179122925,True,245,245,True,151657,<tool_call>,0.9799851179122925,40,I,0.01583998277783394,0.9641451351344585,0.9799851179122925,1,True,True
